index,name,parameter,power
289,slaking,atk,160
290,nincada,atk,45
291,ninjask,atk,90
292,shedinja,atk,90
293,whismur,atk,51
294,loudred,atk,71
295,exploud,atk,91
296,makuhita,atk,60
297,hariyama,atk,120
298,azurill,atk,20
299,nosepass,atk,45
300,skitty,atk,45
301,delcatty,atk,65
302,sableye,atk,75
303,mawile,atk,85
304,aron,atk,70
305,lairon,atk,90
306,aggron,atk,110
307,meditite,atk,40
308,medicham,atk,60
309,electrike,atk,45
310,manectric,atk,75
311,plusle,atk,50
312,minun,atk,40
313,volbeat,atk,73
314,illumise,atk,47
315,roselia,atk,60
316,gulpin,atk,43
317,swalot,atk,73
318,carvanha,atk,90
319,sharpedo,atk,120
320,wailmer,atk,70
321,wailord,atk,90
322,numel,atk,60
323,camerupt,atk,100
324,torkoal,atk,85
325,spoink,atk,25
326,grumpig,atk,45
327,spinda,atk,60
328,trapinch,atk,100
329,vibrava,atk,70
330,flygon,atk,100
331,cacnea,atk,85
332,cacturne,atk,115
333,swablu,atk,40
334,altaria,atk,70
335,zangoose,atk,115
336,seviper,atk,100
337,lunatone,atk,55
338,solrock,atk,95
339,barboach,atk,48
340,whiscash,atk,78
341,corphish,atk,80
342,crawdaunt,atk,120
343,baltoy,atk,40
344,claydol,atk,70
345,lileep,atk,41
346,cradily,atk,81
347,anorith,atk,95
348,armaldo,atk,125
349,feebas,atk,15
350,milotic,atk,60
351,castform,atk,70
352,kecleon,atk,90
353,shuppet,atk,75
354,banette,atk,115
355,duskull,atk,40
356,dusclops,atk,70
357,tropius,atk,68
358,chimecho,atk,50
359,absol,atk,130
360,wynaut,atk,23
361,snorunt,atk,50
362,glalie,atk,80
363,spheal,atk,40
364,sealeo,atk,60
365,walrein,atk,80
366,clamperl,atk,64
367,huntail,atk,104
368,gorebyss,atk,84
369,relicanth,atk,90
370,luvdisc,atk,30
371,bagon,atk,75
372,shelgon,atk,95
373,salamence,atk,135
374,beldum,atk,55
375,metang,atk,75
376,metagross,atk,135
377,regirock,atk,100
378,regice,atk,50
379,registeel,atk,75
380,latias,atk,80
381,latios,atk,90
382,kyogre,atk,100
383,groudon,atk,150
384,rayquaza,atk,150
385,jirachi,atk,100
386,deoxys,atk,150
387,turtwig,atk,68
388,grotle,atk,89
389,torterra,atk,109
390,chimchar,atk,58
391,monferno,atk,78
392,infernape,atk,104
393,piplup,atk,51
394,prinplup,atk,66
395,empoleon,atk,86
396,starly,atk,55
397,staravia,atk,75
398,staraptor,atk,120
399,bidoof,atk,45
400,bibarel,atk,85
401,kricketot,atk,25
402,kricketune,atk,85
403,shinx,atk,65
404,luxio,atk,85
405,luxray,atk,120
406,budew,atk,30
407,roserade,atk,70
408,cranidos,atk,125
409,rampardos,atk,165
410,shieldon,atk,42
411,bastiodon,atk,52
412,burmy,atk,29
413,wormadam,atk,59
414,mothim,atk,94
415,combee,atk,30
416,vespiquen,atk,80
417,pachirisu,atk,45
418,buizel,atk,65
419,floatzel,atk,105
420,cherubi,atk,35
421,cherrim,atk,60
422,shellos,atk,48
423,gastrodon,atk,83
424,ambipom,atk,100
425,drifloon,atk,50
426,drifblim,atk,80
427,buneary,atk,66
428,lopunny,atk,76
429,mismagius,atk,60
430,honchkrow,atk,125
431,glameow,atk,55
432,purugly,atk,82
433,chingling,atk,30
434,stunky,atk,63
435,skuntank,atk,93
436,bronzor,atk,24
437,bronzong,atk,89
438,bonsly,atk,80
439,mime-jr,atk,25
440,happiny,atk,5
441,chatot,atk,65
442,spiritomb,atk,92
443,gible,atk,70
444,gabite,atk,90
445,garchomp,atk,130
446,munchlax,atk,85
447,riolu,atk,70
448,lucario,atk,110
449,hippopotas,atk,72
450,hippowdon,atk,112
451,skorupi,atk,50
452,drapion,atk,90
453,croagunk,atk,61
454,toxicroak,atk,106
455,carnivine,atk,100
456,finneon,atk,49
457,lumineon,atk,69
458,mantyke,atk,20
459,snover,atk,62
460,abomasnow,atk,92
461,weavile,atk,120
462,magnezone,atk,70
463,lickilicky,atk,85
464,rhyperior,atk,140
465,tangrowth,atk,100
466,electivire,atk,123
467,magmortar,atk,95
468,togekiss,atk,50
469,yanmega,atk,76
470,leafeon,atk,110
471,glaceon,atk,60
472,gliscor,atk,95
473,mamoswine,atk,130
474,porygon-z,atk,80
475,gallade,atk,125
476,probopass,atk,55
477,dusknoir,atk,100
478,froslass,atk,80
479,rotom,atk,50
480,uxie,atk,75
481,mesprit,atk,105
482,azelf,atk,125
483,dialga,atk,120
484,palkia,atk,120
485,heatran,atk,90
486,regigigas,atk,160
487,giratina,atk,100
488,cresselia,atk,70
489,phione,atk,80
490,manaphy,atk,100
491,darkrai,atk,90
492,shaymin,atk,100
493,arceus,atk,120
494,victini,atk,100
495,snivy,atk,45
496,servine,atk,60
497,serperior,atk,75
498,tepig,atk,63
499,pignite,atk,93
500,emboar,atk,123
501,oshawott,atk,55
502,dewott,atk,75
503,samurott,atk,100
504,patrat,atk,55
505,watchog,atk,85
506,lillipup,atk,60
507,herdier,atk,80
508,stoutland,atk,110
509,purrloin,atk,50
510,liepard,atk,88
511,pansage,atk,53
512,simisage,atk,98
513,pansear,atk,53
514,simisear,atk,98
515,panpour,atk,53
516,simipour,atk,98
517,munna,atk,25
518,musharna,atk,55
519,pidove,atk,55
520,tranquill,atk,77
521,unfezant,atk,115
522,blitzle,atk,60
523,zebstrika,atk,100
524,roggenrola,atk,75
525,boldore,atk,105
526,gigalith,atk,135
527,woobat,atk,45
528,swoobat,atk,57
529,drilbur,atk,85
530,excadrill,atk,135
531,audino,atk,60
532,timburr,atk,80
533,gurdurr,atk,105
534,conkeldurr,atk,140
535,tympole,atk,50
536,palpitoad,atk,65
537,seismitoad,atk,95
538,throh,atk,100
539,sawk,atk,125
540,sewaddle,atk,53
541,swadloon,atk,63
542,leavanny,atk,103
543,venipede,atk,45
544,whirlipede,atk,55
545,scolipede,atk,100
546,cottonee,atk,27
547,whimsicott,atk,67
548,petilil,atk,35
549,lilligant,atk,60
550,basculin,atk,92
551,sandile,atk,72
552,krokorok,atk,82
553,krookodile,atk,117
554,darumaka,atk,90
555,darmanitan,atk,140
556,maractus,atk,86
557,dwebble,atk,65
558,crustle,atk,105
559,scraggy,atk,75
560,scrafty,atk,90
561,sigilyph,atk,58
562,yamask,atk,30
563,cofagrigus,atk,50
564,tirtouga,atk,78
565,carracosta,atk,108
566,archen,atk,112
567,archeops,atk,140
568,trubbish,atk,50
569,garbodor,atk,95
570,zorua,atk,65
571,zoroark,atk,105
572,minccino,atk,50
573,cinccino,atk,95
574,gothita,atk,30
575,gothorita,atk,45
576,gothitelle,atk,55
577,solosis,atk,30
578,duosion,atk,40
579,reuniclus,atk,65
580,ducklett,atk,44
581,swanna,atk,87
582,vanillite,atk,50
583,vanillish,atk,65
584,vanilluxe,atk,95
585,deerling,atk,60
586,sawsbuck,atk,100
587,emolga,atk,75
588,karrablast,atk,75
589,escavalier,atk,135
590,foongus,atk,55
591,amoonguss,atk,85
592,frillish,atk,40
593,jellicent,atk,60
594,alomomola,atk,75
595,joltik,atk,47
596,galvantula,atk,77
597,ferroseed,atk,50
598,ferrothorn,atk,94
599,klink,atk,55
600,klang,atk,80
601,klinklang,atk,100
602,tynamo,atk,55
603,eelektrik,atk,85
604,eelektross,atk,115
605,elgyem,atk,55
606,beheeyem,atk,75
607,litwick,atk,30
608,lampent,atk,40
609,chandelure,atk,55
610,axew,atk,87
611,fraxure,atk,117
612,haxorus,atk,147
613,cubchoo,atk,70
614,beartic,atk,130
615,cryogonal,atk,50
616,shelmet,atk,40
617,accelgor,atk,70
618,stunfisk,atk,66
619,mienfoo,atk,85
620,mienshao,atk,125
621,druddigon,atk,120
622,golett,atk,74
623,golurk,atk,124
624,pawniard,atk,85
625,bisharp,atk,125
626,bouffalant,atk,110
627,rufflet,atk,83
628,braviary,atk,123
629,vullaby,atk,55
630,mandibuzz,atk,65
631,heatmor,atk,97
632,durant,atk,109
633,deino,atk,65
634,zweilous,atk,85
635,hydreigon,atk,105
636,larvesta,atk,85
637,volcarona,atk,60
638,cobalion,atk,90
639,terrakion,atk,129
640,virizion,atk,90
641,tornadus,atk,115
642,thundurus,atk,115
643,reshiram,atk,120
644,zekrom,atk,150
645,landorus,atk,125
646,kyurem,atk,130
647,keldeo,atk,72
648,meloetta,atk,77
649,genesect,atk,120
650,chespin,atk,61
651,quilladin,atk,78
652,chesnaught,atk,107
653,fennekin,atk,45
654,braixen,atk,59
655,delphox,atk,69
656,froakie,atk,56
657,frogadier,atk,63
658,greninja,atk,95
659,bunnelby,atk,36
660,diggersby,atk,56
661,fletchling,atk,50
662,fletchinder,atk,73
663,talonflame,atk,81
664,scatterbug,atk,35
665,spewpa,atk,22
666,vivillon,atk,52
667,litleo,atk,50
668,pyroar,atk,68
669,flabebe,atk,38
670,floette,atk,45
671,florges,atk,65
672,skiddo,atk,65
673,gogoat,atk,100
674,pancham,atk,82
675,pangoro,atk,124
676,furfrou,atk,80
677,espurr,atk,48
678,meowstic,atk,48
679,honedge,atk,80
680,doublade,atk,110
681,aegislash,atk,50
682,spritzee,atk,52
683,aromatisse,atk,72
684,swirlix,atk,48
685,slurpuff,atk,80
686,inkay,atk,54
687,malamar,atk,92
688,binacle,atk,52
689,barbaracle,atk,105
690,skrelp,atk,60
691,dragalge,atk,75
692,clauncher,atk,53
693,clawitzer,atk,73
694,helioptile,atk,38
695,heliolisk,atk,55
696,tyrunt,atk,89
697,tyrantrum,atk,121
698,amaura,atk,59
699,aurorus,atk,77
700,sylveon,atk,65
701,hawlucha,atk,92
702,dedenne,atk,58
703,carbink,atk,50
704,goomy,atk,50
705,sliggoo,atk,75
706,goodra,atk,100
707,klefki,atk,80
708,phantump,atk,70
709,trevenant,atk,110
710,pumpkaboo,atk,66
711,gourgeist,atk,90
712,bergmite,atk,69
713,avalugg,atk,117
714,noibat,atk,30
715,noivern,atk,70
716,xerneas,atk,131
717,yveltal,atk,131
718,zygarde,atk,100
719,diancie,atk,100
720,hoopa,atk,110
721,volcanion,atk,110
722,rowlet,atk,55
723,dartrix,atk,75
724,decidueye,atk,107
725,litten,atk,65
726,torracat,atk,85
727,incineroar,atk,115
728,popplio,atk,54
729,brionne,atk,69
730,primarina,atk,74
731,pikipek,atk,75
732,trumbeak,atk,85
733,toucannon,atk,120
734,yungoos,atk,70
735,gumshoos,atk,110
736,grubbin,atk,62
737,charjabug,atk,82
738,vikavolt,atk,70
739,crabrawler,atk,82
740,crabominable,atk,132
741,oricorio,atk,70
742,cutiefly,atk,45
743,ribombee,atk,55
744,rockruff,atk,65
745,lycanroc,atk,115
746,wishiwashi,atk,20
747,mareanie,atk,53
748,toxapex,atk,63
749,mudbray,atk,100
750,mudsdale,atk,125
751,dewpider,atk,40
752,araquanid,atk,70
753,fomantis,atk,55
754,lurantis,atk,105
755,morelull,atk,35
756,shiinotic,atk,45
757,salandit,atk,44
758,salazzle,atk,64
759,stufful,atk,75
760,bewear,atk,125
761,bounsweet,atk,30
762,steenee,atk,40
763,tsareena,atk,120
764,comfey,atk,52
765,oranguru,atk,60
766,passimian,atk,120
767,wimpod,atk,35
768,golisopod,atk,125
769,sandygast,atk,55
770,palossand,atk,75
771,pyukumuku,atk,60
772,type-null,atk,95
773,silvally,atk,95
774,minior,atk,60
775,komala,atk,115
776,turtonator,atk,78
777,togedemaru,atk,98
778,mimikyu,atk,90
779,bruxish,atk,105
780,drampa,atk,60
781,dhelmise,atk,131
782,jangmo-o,atk,55
783,hakamo-o,atk,75
784,kommo-o,atk,110
785,tapu-koko,atk,115
786,tapu-lele,atk,85
787,tapu-bulu,atk,130
788,tapu-fini,atk,75
789,cosmog,atk,29
790,cosmoem,atk,29
791,solgaleo,atk,137
792,lunala,atk,113
793,nihilego,atk,53
794,buzzwole,atk,139
795,pheromosa,atk,137
796,xurkitree,atk,89
797,celesteela,atk,101
798,kartana,atk,181
799,guzzlord,atk,101
800,necrozma,atk,107
801,magearna,atk,95
802,marshadow,atk,125
803,poipole,atk,73
804,naganadel,atk,73
805,stakataka,atk,131
806,blacephalon,atk,127
807,zeraora,atk,112
808,meltan,atk,65
809,melmetal,atk,143
810,grookey,atk,65
811,thwackey,atk,85
812,rillaboom,atk,125
813,scorbunny,atk,71
814,raboot,atk,86
815,cinderace,atk,116
816,sobble,atk,40
817,drizzile,atk,60
818,inteleon,atk,85
819,skwovet,atk,55
820,greedent,atk,95
821,rookidee,atk,47
822,corvisquire,atk,67
823,corviknight,atk,87
824,blipbug,atk,20
825,dottler,atk,35
826,orbeetle,atk,45
827,nickit,atk,28
828,thievul,atk,58
829,gossifleur,atk,40
830,eldegoss,atk,50
831,wooloo,atk,40
832,dubwool,atk,80
833,chewtle,atk,64
834,drednaw,atk,115
835,yamper,atk,45
836,boltund,atk,90
837,rolycoly,atk,40
838,carkol,atk,60
839,coalossal,atk,80
840,applin,atk,40
841,flapple,atk,110
842,appletun,atk,85
843,silicobra,atk,57
844,sandaconda,atk,107
845,cramorant,atk,85
846,arrokuda,atk,63
847,barraskewda,atk,123
848,toxel,atk,38
849,toxtricity,atk,98
850,sizzlipede,atk,65
851,centiskorch,atk,115
852,clobbopus,atk,68
853,grapploct,atk,118
854,sinistea,atk,45
855,polteageist,atk,65
856,hatenna,atk,30
857,hattrem,atk,40
858,hatterene,atk,90
859,impidimp,atk,45
860,morgrem,atk,60
861,grimmsnarl,atk,120
862,obstagoon,atk,90
863,perrserker,atk,110
864,cursola,atk,95
865,sirfetchd,atk,135
866,mr-rime,atk,85
867,runerigus,atk,95
868,milcery,atk,40
869,alcremie,atk,60
870,falinks,atk,100
871,pincurchin,atk,101
872,snom,atk,25
873,frosmoth,atk,65
874,stonjourner,atk,125
875,eiscue,atk,80
876,indeedee,atk,65
877,morpeko,atk,95
878,cufant,atk,80
879,copperajah,atk,130
880,dracozolt,atk,100
881,arctozolt,atk,100
882,dracovish,atk,90
883,arctovish,atk,90
884,duraludon,atk,95
885,dreepy,atk,60
886,drakloak,atk,80
887,dragapult,atk,120
888,zacian,atk,120
889,zamazenta,atk,120
890,eternatus,atk,85
891,kubfu,atk,90
892,urshifu,atk,130
893,zarude,atk,120
894,regieleki,atk,100
895,regidrago,atk,100
896,glastrier,atk,145
897,spectrier,atk,65
898,calyrex,atk,80
899,wyrdeer,atk,105
900,kleavor,atk,135
901,ursaluna,atk,140
902,basculegion,atk,112
903,sneasler,atk,130
904,overqwil,atk,115
905,enamorus,atk,115
906,sprigatito,atk,61
907,floragato,atk,80
908,meowscarada,atk,110
909,fuecoco,atk,45
910,crocalor,atk,55
911,skeledirge,atk,75
912,quaxly,atk,65
913,quaxwell,atk,85
914,quaquaval,atk,120
915,lechonk,atk,45
916,oinkologne,atk,100
917,tarountula,atk,41
918,spidops,atk,79
919,nymble,atk,46
920,lokix,atk,102
921,pawmi,atk,50
922,pawmo,atk,75
923,pawmot,atk,115
924,tandemaus,atk,50
925,maushold,atk,75
926,fidough,atk,55
927,dachsbun,atk,80
928,smoliv,atk,35
929,dolliv,atk,53
930,arboliva,atk,69
931,squawkabilly,atk,96
932,nacli,atk,55
933,naclstack,atk,60
934,garganacl,atk,100
935,charcadet,atk,50
936,armarouge,atk,60
937,ceruledge,atk,125
938,tadbulb,atk,31
939,bellibolt,atk,64
940,wattrel,atk,40
941,kilowattrel,atk,70
942,maschiff,atk,78
943,mabosstiff,atk,120
944,shroodle,atk,65
945,grafaiai,atk,95
946,bramblin,atk,65
947,brambleghast,atk,115
948,toedscool,atk,40
949,toedscruel,atk,70
950,klawf,atk,100
951,capsakid,atk,62
952,scovillain,atk,108
953,rellor,atk,50
954,rabsca,atk,50
955,flittle,atk,35
956,espathra,atk,60
957,tinkatink,atk,45
958,tinkatuff,atk,55
959,tinkaton,atk,75
960,wiglett,atk,55
961,wugtrio,atk,100
962,bombirdier,atk,103
963,finizen,atk,45
964,palafin,atk,70
965,varoom,atk,70
966,revavroom,atk,119
967,cyclizar,atk,95
968,orthworm,atk,85
969,glimmet,atk,35
970,glimmora,atk,55
971,greavard,atk,61
972,houndstone,atk,101
973,flamigo,atk,115
974,cetoddle,atk,68
975,cetitan,atk,113
976,veluza,atk,102
977,dondozo,atk,100
978,tatsugiri,atk,50
979,annihilape,atk,115
980,clodsire,atk,75
981,farigiraf,atk,90
982,dudunsparce,atk,100
983,kingambit,atk,135
984,great-tusk,atk,131
985,scream-tail,atk,65
986,brute-bonnet,atk,127
987,flutter-mane,atk,55
988,slither-wing,atk,135
989,sandy-shocks,atk,81
990,iron-treads,atk,112
991,iron-bundle,atk,80
992,iron-hands,atk,140
993,iron-jugulis,atk,80
994,iron-moth,atk,70
995,iron-thorns,atk,134
996,frigibax,atk,75
997,arctibax,atk,95
998,baxcalibur,atk,145
999,gimmighoul,atk,30
1000,gholdengo,atk,60
1001,wo-chien,atk,85
1002,chien-pao,atk,120
1003,ting-lu,atk,110
1004,chi-yu,atk,80
1005,roaring-moon,atk,139
1006,iron-valiant,atk,130
1007,koraidon,atk,135
1008,miraidon,atk,85
1009,walking-wake,atk,83
1010,iron-leaves,atk,130
1011,dipplin,atk,80
1012,poltchageist,atk,45
1013,sinistcha,atk,60
1014,okidogi,atk,128
1015,munkidori,atk,75
1016,fezandipiti,atk,91
1017,ogerpon,atk,120
1018,archaludon,atk,105
1019,hydrapple,atk,80
1020,gouging-fire,atk,115
1021,raging-bolt,atk,73
1022,iron-boulder,atk,120
1023,iron-crown,atk,72
1024,terapagos,atk,65
1025,pecharunt,atk,88
1,bulbasaur,def,49
2,ivysaur,def,63
3,venusaur,def,83
4,charmander,def,43
5,charmeleon,def,58
6,charizard,def,78
7,squirtle,def,65
8,wartortle,def,80
9,blastoise,def,100
10,caterpie,def,35
11,metapod,def,55
12,butterfree,def,50
13,weedle,def,30
14,kakuna,def,50
15,beedrill,def,40
16,pidgey,def,40
17,pidgeotto,def,55
18,pidgeot,def,75
19,rattata,def,35
20,raticate,def,60
21,spearow,def,30
22,fearow,def,65
23,ekans,def,44
24,arbok,def,69
25,pikachu,def,40
26,raichu,def,55
27,sandshrew,def,85
28,sandslash,def,110
29,nidoranf,def,52
30,nidorina,def,67
31,nidoqueen,def,87
32,nidoranm,def,40
33,nidorino,def,57
34,nidoking,def,77
35,clefairy,def,48
36,clefable,def,73
37,vulpix,def,40
38,ninetales,def,75
39,jigglypuff,def,20
40,wigglytuff,def,45
41,zubat,def,35
42,golbat,def,70
43,oddish,def,55
44,gloom,def,70
45,vileplume,def,85
46,paras,def,55
47,parasect,def,80
48,venonat,def,50
49,venomoth,def,60
50,diglett,def,25
51,dugtrio,def,50
52,meowth,def,35
53,persian,def,60
54,psyduck,def,48
55,golduck,def,78
56,mankey,def,35
57,primeape,def,60
58,growlithe,def,45
59,arcanine,def,80
60,poliwag,def,40
61,poliwhirl,def,65
62,poliwrath,def,95
63,abra,def,15
64,kadabra,def,30
65,alakazam,def,45
66,machop,def,50
67,machoke,def,70
68,machamp,def,80
69,bellsprout,def,35
70,weepinbell,def,50
71,victreebel,def,65
72,tentacool,def,35
73,tentacruel,def,65
74,geodude,def,100
75,graveler,def,115
76,golem,def,130
77,ponyta,def,55
78,rapidash,def,70
79,slowpoke,def,65
80,slowbro,def,110
81,magnemite,def,70
82,magneton,def,95
83,farfetchd,def,55
84,doduo,def,45
85,dodrio,def,70
86,seel,def,55
87,dewgong,def,80
88,grimer,def,50
89,muk,def,75
90,shellder,def,100
91,cloyster,def,180
92,gastly,def,30
93,haunter,def,45
94,gengar,def,60
95,onix,def,160
96,drowzee,def,45
97,hypno,def,70
98,krabby,def,90
99,kingler,def,115
100,voltorb,def,50
101,electrode,def,70
102,exeggcute,def,80
103,exeggutor,def,85
104,cubone,def,95
105,marowak,def,110
106,hitmonlee,def,53
107,hitmonchan,def,79
108,lickitung,def,75
109,koffing,def,95
110,weezing,def,120
111,rhyhorn,def,95
112,rhydon,def,120
113,chansey,def,5
114,tangela,def,115
115,kangaskhan,def,80
116,horsea,def,70
117,seadra,def,95
118,goldeen,def,60
119,seaking,def,65
120,staryu,def,55
121,starmie,def,85
122,mr-mime,def,65
123,scyther,def,80
124,jynx,def,35
125,electabuzz,def,57
126,magmar,def,57
127,pinsir,def,100
128,tauros,def,95
129,magikarp,def,55
130,gyarados,def,79
131,lapras,def,80
132,ditto,def,48
133,eevee,def,50
134,vaporeon,def,60
135,jolteon,def,60
136,flareon,def,60
137,porygon,def,70
138,omanyte,def,100
139,omastar,def,125
140,kabuto,def,90
141,kabutops,def,105
142,aerodactyl,def,65
143,snorlax,def,65
144,articuno,def,100
145,zapdos,def,85
146,moltres,def,90
147,dratini,def,45
148,dragonair,def,65
149,dragonite,def,95
150,mewtwo,def,90
151,mew,def,100
152,chikorita,def,65
153,bayleef,def,80
154,meganium,def,100
155,cyndaquil,def,43
156,quilava,def,58
157,typhlosion,def,78
158,totodile,def,64
159,croconaw,def,80
160,feraligatr,def,100
161,sentret,def,34
162,furret,def,64
163,hoothoot,def,30
164,noctowl,def,50
165,ledyba,def,30
166,ledian,def,50
